Identity	Bloc	Trt	Wound	Strain	Initial_Mass	Initial_Number	2	4	7	9	11	14	16	18	2	4	7	9	11	14	16	18
17-Ita6BacNon-B6	B6	Bac	Non	Ita	5118	10	5997	7251	8409	9315	9926	13031	13026	13010	10	10	10	10	10	10	10	10
18-Gre6BacNon-B6	B6	Bac	Non	Gre	4729	10	5846	6997	7556	8805	9425	10575	10790	10996	10	10	10	10	10	10	9	9
19-Ita6LevSte-B6	B6	Lev	Ste	Ita	6393	10	8291	9414	9349	10139	11637	13650	13340	12030	10	10	10	10	10	10	10	9
20-Gre6LevSte-B6	B6	Lev	Ste	Gre	6253	10	6680	8118	9827	10672	11458	14782	15381	15310	10	10	10	10	10	10	10	10
21-Can6LevSte-B6	B6	Lev	Ste	Can	5615	10	6405	6535	6924	8259	9270	11022	11480	11264	10	9	9	9	9	9	9	9
22-Ita6ConSer-B6	B6	Con	Ser	Ita	5988	10	6500	6767	5244	5847	6555	7974	7751	7452	10	10	7	7	7	7	7	6
23-Gre6ConSer-B6	B6	Con	Ser	Gre	5071	10	5522	5649	6012	6129	5825	7058	6904	6802	10	10	10	10	9	8	8	8
24-Can6ConSer-B6	B6	Con	Ser	Can	4026	10	4318	4465	4788	5241	5772	7107	7523	7923	10	10	10	8	8	8	8	8
25-Gre6LevNon-B6	B6	Lev	Non	Gre	6073	10	6775	8199	9490	9794	10843	14783	14629	14395	10	10	10	10	10	10	10	10
26-Ita6LevNon-B6	B6	Lev	Non	Ita	5659	9	7124	8113	8513	10155	11296	13605	13551	13197	10	10	10	10	10	10	10	10
27-Can6LevNon-B6	B6	Lev	Non	Can	5154	10	6270	7521	7878	9048	10194	12474	12713	12761	10	10	10	10	10	10	10	10
1-Ita7BacNon-B7	B7	Bac	Non	Ita	4998	10	7321	8038	7870	8870	10545	12497	12161	11850	10	10	10	10	10	10	10	10
2-Can7BacNon-B7	B7	Bac	Non	Can	4783	10	6575	7910	8318	8561	9225	12412	12563	12520	10	10	10	10	10	10	10	10
