Souche	Rep	Bloc	Traitement 	Piq	6	7	8	9	10	11	12	13	14	15	16	17
Grèce	GreDSte	8	D	Ste	10	10	10	10	6	2	2	0	0	0	0	0
Grèce	GrePSte	8	P	Ste	10	10	10	10	8	7	0	0	0	0	0	0
Italie	ItaPSte	8	P	Ste	10	10	10	8	6	6	3	2	1	1	0	0
Canada	CanPSte	8	P	Ste	10	10	10	10	10	8	4	4	3	1	0	0
Grèce	GreESte	8	E	Ste	10	9	10	10	10	8	8	4	4	4	4	4
Italie	ItaESte	8	E	Ste	10	10	10	9	9	9	8	5	3	1	1	1
Canada	CanESte	8	E	Ste	10	10	10	10	10	9	8	7	6	4	4	4
Grèce	GreCSte	8	C	Ste	10	10	10	9	9	9	4	2	2	1	1	1
Canada	CanCSte	8	C	Ste	10	10	10	10	0	6	3	0	0	0	0	0
Italie	ItaCSte	8	C	Ste	10	10	10	10	8	3	2	2	1	1	0	0
Canada	CanCBact	8	C	Bact	10	10	10	7	7	6	6	3	0	0	0	0
Italie	ItaCBact	8	C	Bact	10	10	10	10	10	5	2	1	0	0	0	0
Grèce	GreCBact	8	C	Bact	10	10	10	10	10	4	2	2	1	0	0	0
Grèce	GreDBact	9	D	Bact	10	10	10	10	8	4	0	0	0	0	0	0
Canada	CanDBact	9	D	Bact	10	10	10	10	10	6	4	1	1	1	1	1
Italie	ItaDBact	9	D	Bact	10	10	10	6	6	2	0	0	0	0	0	0
Grèce	GreESte	9	E	Ste	10	10	9	9	9	7	6	5	2	2	2	2
Canada	CanESte	9	E	Ste	10	9	9	9	9	9	8	6	5	3	3	3
Italie	ItaESte	9	E	Ste	10	9	9	9	8	8	8	5	5	2	2	1
Italie	ItaCSte	9	C	Ste	10	10	10	10	7	6	2	2	2	2	2	2
Canada	CanCSte	9	C	Ste	10	10	10	10	10	9	5	4	0	0	0	0
Grèce	GreCSte	9	C	Ste	10	10	10	10	9	8	3	2	0	0	0	0
Canada	CanPBact	9	P	Bact	10	10	10	10	10	7	4	0	0	0	0	0
Italie	ItaPBact	9	P	Bact	10	10	9	9	6	1	0	0	0	0	0	0
Grèce	GrePBact	9	P	Bact	10	10	10	10	9	5	3	1	0	0	0	0
Italie	ItaPSte	9	P	Ste	10	10	10	10	10	5	3	2	2	1	1	1
Canada	CanPSte	9	P	Ste	10	10	10	10	10	6	4	1	0	0	0	0
Grèce	GrePSte	9	P	Ste	10	10	10	10	10	6	3	2	2	2	2	2
Italie	ItaDSte	9	D	Ste	10	9	8	8	7	3	0	0	0	0	0	0
Canada	CanDSte	9	D	Ste	10	10	10	10	10	9	5	4	3	1	1	1
Grèce	GreDSte	9	D	Ste	10	10	10	10	10	7	4	1	0	0	0	0
Canada	CanCBact	9	C	Bact	10	10	10	10	10	9	5	3	3	1	0	0
Italie	ItaCBact	9	C	Bact	10	10	10	10	8	4	1	1	0	0	0	0
Grèce	GreCBact	9	C	Bact	10	9	8	8	8	8	2	1	0	0	0	0
Canada	CanEBact	9	E	Bact	10	9	9	9	9	9	9	9	7	6	6	5
Italie	ItaEBact	9	E	Bact	10	10	10	10	10	10	10	7	6	5	5	4
Grèce	GreEBact	9	E	Bact	10	10	10	10	10	10	9	9	6	5	5	3
Grèce	GreCBact	10	C	Bact	10	10	10	9	9	6	5	2	2	1	1	1
Italie	ItaCBact	10	C	Bact	10	10	10	9	8	2	2	2	1	1	1	1
Canada	CanCBact	10	C	Bact	10	9	9	9	7	6	4	2	0	0	0	0
Italie	ItaCSte	10	C	Ste	10	10	10	9	5	3	2	1	0	0	0	0
Canada	CanCSte	10	C	Ste	10	9	9	8	8	6	4	3	2	2	1	1
Grèce	GreCSte	10	C	Ste	10	10	10	10	9	4	0	0	0	0	0	0
Italie	ItaESte	10	E	Ste	10	10	10	9	9	6	4	3	3	1	1	1
Grèce	GreESte	10	E	Ste	10	10	10	10	10	10	10	8	5	3	3	2
Canada	CanESte	10	E	Ste	10	10	10	10	10	10	8	5	2	2	2	1
Italie	ItaEBact	10	E	Bact	10	10	10	10	10	9	8	5	4	3	2	1
Canada	CanEBact	10	E	Bact	10	10	10	10	10	10	9	4	6	5	2	1
Grèce	GreEBact	10	E	Bact	10	10	10	10	10	10	6	6	4	1	1	1
Canada	CanPBact	10	P	Bact	10	10	10	9	9	5	2	2	1	1	1	1
Grèce	GrePBact	10	P	Bact	10	10	10	10	8	4	1	0	0	0	0	0
Italie	ItaPBact	10	P	Bact	10	10	10	8	4	2	1	1	1	1	1	1
Grèce	GreDSte	10	D	Ste	10	10	10	10	9	6	1	0	0	0	0	0
Canada	CanDSte	10	D	Ste	10	10	9	9	9	7	1	1	0	0	0	0
Italie	ItaDSte	10	D	Ste	10	10	10	10	5	4	0	0	0	0	0	0
Grèce	GrePSte	10	P	Ste	10	10	10	10	9	4	 	1	1	0	0	0
Italie	ItaPSte	10	P	Ste	10	9	9	8	6	4	3	0	0	0	0	0
Canada	CanPSte	10	P	Ste	10	10	10	10	10	6	4	3	1	0	0	0
Grèce	GreDBact	10	D	Bact	10	9	9	9	8	2	1	1	0	0	0	0
Italie	ItaDBact	10	D	Bact	10	10	10	10	7	1	1	0	0	0	0	0
Canada	CanDBact	10	D	Bact	10	10	10	10	9	7	5	2	1	0	0	0
