Souche	Rep	Bloc	Traitement 	Piq	6	7	8	9	10	11	12	13	14	15	16	17
Grèce	GreCSte	7	C	Ste	3042	5884	10076	11781	10299	7832	4295	3113	1468	NA	NA	NA
Italie	ItaCSte	7	C	Ste	4124	7104	12517	13120	8716	3306	3652	3691	1861	2061	1941	NA
Canada	CanCSte	7	C	Ste	3287	5666	9192	9318	12107	7195	7628	4248	NA	NA	NA	NA
Canada	CanEBact	7	E	Bact	2890	3961	6226	7280	9736	10042	9213	6633	5632	5756	4382	2026
Grèce	GreEBact	7	E	Bact	3306	4386	6466	7742	9651	11901	11550	11170	9912	4038	2747	1493
Italie	ItaEBact	7	E	Bact	4082	5782	7790	9820	10345	7020	4783	2401	2315	NA	NA	NA
Canada	CanDBact	7	D	Bact	3266	5241	9116	10261	12238	9255	7725	3011	1606	1504	1682	1603
Italie	ItaDBact	7	D	Bact	3917	6500	11033	11315	6378	1843	NA	NA	NA	NA	NA	NA
Grèce	GreDBact	7	D	Bact	3691	6678	12166	13384	11492	1526	NA	NA	NA	NA	NA	NA
Grèce	GrePBact	7	P	Bact	3060	5270	10026	10269	12911	9441	2617	NA	NA	NA	NA	NA
Canada	CanPBact	7	P	Bact	2948	4655	7927	10021	11327	7716	5127	2817	1525	NA	NA	NA
Italie	ItaPBact	7	P	Bact	3149	5363	9778	12111	13109	6678	1593	NA	NA	NA	NA	NA
Canada	CanESte	7	E	Ste	3352	4075	6270	7167	7596	9606	7701	5274	2937	1924	1958	2037
Italie	ItaESte	7	E	Ste	3790	5001	7854	8489	10434	8924	6836	5879	3055	1977	2146	2038
Grèce	GreESte	7	E	Ste	3173	4637	6552	8126	10610	11121	6148	5465	4122	NA	NA	NA
Grèce	GreEBact	8	E	Bact	3470	5346	7043	8775	10725	12442	9209	5164	1110	NA	NA	NA
Italie	ItaEBact	8	E	Bact	4054	5657	7827	9661	10270	9020	3614	2430	2441	NA	NA	NA
Canada	CanEBact	8	E	Bact	3120	4485	6291	7811	9499	10562	9418	10145	5830	3580	2309	2361
Italie	ItaPBact	8	P	Bact	3975	6446	9879	10150	5961	2928	NA	NA	NA	NA	NA	NA
Canada	CanPBact	8	P	Bact	3320	5354	7956	10286	13292	10058	4198	1294	NA	NA	NA	NA
Grèce	GrePBact	8	P	Bact	3153	5999	8899	10417	14423	5887	4445	NA	NA	NA	NA	NA
Italie	ItaDBact	8	D	Bact	4068	6507	10323	11640	9397	4577	1630	1781	1678	1745	NA	NA
Grèce	GreDBact	8	D	Bact	2884	5912	8803	11819	9870	2905	NA	NA	NA	NA	NA	NA
Canada	CanDBact	8	D	Bact	3302	5419	5270	10645	9767	5976	1938	2431	1292	1138	1237	1219
Italie	ItaDSte	8	D	Ste	3078	5030	7759	8895	8974	2964	3597	2270	888	1145	1086	1301
Canada	CanDSte	8	D	Ste	3291	5842	9362	9770	12841	7071	5732	1500	NA	NA	NA	NA
Grèce	GreDSte	8	D	Ste	3454	6782	7898	11504	8356	3110	2898	NA	NA	NA	NA	NA
Grèce	GrePSte	8	P	Ste	2934	5408	8515	12191	12612	11074	NA	NA	NA	NA	NA	NA
Italie	ItaPSte	8	P	Ste	3128	5178	8483	7806	7783	5280	4211	2407	1469	1445	NA	NA
Canada	CanPSte	8	P	Ste	2850	5041	7495	9739	12491	10427	5037	5463	4037	1256	NA	NA
Grèce	GreESte	8	E	Ste	3826	4721	5089	7789	9366	9131	8685	3630	3604	3758	4101	3961
Italie	ItaESte	8	E	Ste	3500	4340	6320	6547	7994	10300	9624	6405	3725	1023	1084	1097
Canada	CanESte	8	E	Ste	2406	3194	4466	5731	6528	8845	8008	7573	6171	3812	3851	3831
Grèce	GreCSte	8	C	Ste	3350	5379	9000	9481	11627	13423	5545	2870	2707	1385	1503	1402
Canada	CanCSte	8	C	Ste	2757	4475	7173	10160	12401	7635	3986	NA	NA	NA	NA	NA
Italie	ItaCSte	8	C	Ste	3609	5991	9521	12439	10889	3957	3220	3327	1740	1840	NA	NA
Canada	CanCBact	8	C	Bact	3651	5514	8520	8383	8782	8657	8554	4023	NA	NA	NA	NA
Italie	ItaCBact	8	C	Bact	2823	5163	7825	10396	13682	6449	2886	1561	NA	NA	NA	NA
Grèce	GreCBact	8	C	Bact	3018	5156	8501	11203	13120	6447	3547	3720	1820	NA	NA	NA
Grèce	GreDBact	9	D	Bact	2656	5003	9813	11386	11239	6270	NA	NA	NA	NA	NA	NA
Canada	CanDBact	9	D	Bact	2589	4852	8044	8954	12561	7928	5455	1120	1048	1295	1292	1232
Italie	ItaDBact	9	D	Bact	3858	6684	10910	6507	8881	3208	NA	NA	NA	NA	NA	NA
Grèce	GreESte	9	E	Ste	3160	4758	6890	7621	9932	8039	8039	6552	2451	2678	2734	2721
Canada	CanESte	9	E	Ste	2431	3054	4544	5585	7396	9347	7950	6455	5411	2786	3005	3045
Italie	ItaESte	9	E	Ste	3425	4180	5893	6599	6745	8519	6120	5413	5041	1592	1548	472
Italie	ItaCSte	9	C	Ste	3647	6755	10187	10373	8991	6309	2940	3024	3116	3351	3244	3300
Canada	CanCSte	9	C	Ste	2636	4798	7776	9458	12510	11957	7940	5184	NA	NA	NA	NA
Grèce	GreCSte	9	C	Ste	2547	5263	7861	10856	12415	11408	4317	2606	NA	NA	NA	NA
Canada	CanPBact	9	P	Bact	2863	5041	8380	9495	13358	9612	5605	NA	NA	NA	NA	NA
Italie	ItaPBact	9	P	Bact	3210	5471	8130	9769	7476	2466	NA	NA	NA	NA	NA	NA
Grèce	GrePBact	9	P	Bact	2237	4803	6810	9326	10315	6375	3946	1166	NA	NA	NA	NA
Italie	ItaPSte	9	P	Ste	2780	4700	7620	10665	12959	6979	4462	3605	3330	2053	2043	1956
Canada	CanPSte	9	P	Ste	2320	4440	6545	8374	11872	7307	5110	1508	NA	NA	NA	NA
Grèce	GrePSte	9	P	Ste	2825	4911	7666	10096	12722	8139	3555	1752	1835	1715	1646	1610
Italie	ItaDSte	9	D	Ste	3051	4525	6848	9186	10324	5133	NA	NA	NA	NA	NA	NA
Canada	CanDSte	9	D	Ste	2040	3766	5697	7791	11161	10964	6004	4627	3194	1055	1162	1139
Grèce	GreDSte	9	D	Ste	2036	4000	6951	9768	14164	10467	6559	1963	NA	NA	NA	NA
Canada	CanCBact	9	C	Bact	2188	3746	5566	7548	10267	9792	4658	3680	3736	1089	NA	NA
Italie	ItaCBact	9	C	Bact	3396	6207	8905	11167	10155	5588	1685	1643	NA	NA	NA	NA
Grèce	GreCBact	9	C	Bact	2292	3700	6122	7769	10204	11524	2959	1486	NA	NA	NA	NA
Canada	CanEBact	9	E	Bact	1896	2402	3456	4299	5748	6878	7737	8220	5872	4860	4986	3948
Italie	ItaEBact	9	E	Bact	2950	3745	5646	6310	8766	9834	10562	7243	6395	5252	5526	4412
Grèce	GreEBact	9	E	Bact	2188	3254	4774	6063	7851	9854	10181	10593	7233	6204	6251	3642
Grèce	GreCBact	10	C	Bact	3012	4988	7343	8633	10030	8096	6795	2794	2880	1203	1175	1134
Italie	ItaCBact	10	C	Bact	3264	5116	8464	10351	10757	2287	2336	2472	852	1076	997	1079
Canada	CanCBact	10	C	Bact	3340	4865	7233	8929	9247	7803	5480	3000	NA	NA	NA	NA
Italie	ItaCSte	10	C	Ste	2919	5901	9002	12091	6723	4667	3235	1583	NA	NA	NA	NA
Canada	CanCSte	10	C	Ste	3013	4891	7082	9336	10117	8135	5859	4145	2936	2980	1611	1726
Grèce	GreCSte	10	C	Ste	3148	5733	9249	12385	12773	5274	NA	NA	NA	NA	NA	NA
Italie	ItaESte	10	E	Ste	3255	4006	5984	8349	10284	7122	4631	3984	4044	1052	1163	1282
Grèce	GreESte	10	E	Ste	2022	2952	4625	5421	8644	11214	11402	10607	6314	3571	3729	2143
Canada	CanESte	10	E	Ste	2968	3669	5318	6788	8517	11005	9252	5936	2256	2297	2219	746
Italie	ItaEBact	10	E	Bact	2907	4073	5906	7709	9900	10097	8878	5553	4446	3592	2488	1034
Canada	CanEBact	10	E	Bact	2661	3867	5810	6973	9536	11395	10243	4932	7192	5862	1997	1072
Grèce	GreEBact	10	E	Bact	2933	4093	5973	6943	10030	12384	7547	8407	5226	999	941	973
Canada	CanPBact	10	P	Bact	2859	4533	6237	8482	11020	5776	1940	2050	931	1079	1145	1128
Grèce	GrePBact	10	P	Bact	3668	6669	9105	12669	11795	5797	1293	NA	NA	NA	NA	NA
Italie	ItaPBact	10	P	Bact	4207	6746	10318	10262	6133	2986	1336	1324	1395	1405	1398	1368
Grèce	GreDSte	10	D	Ste	3043	5923	8298	11366	10866	8540	1300	NA	NA	NA	NA	NA
Canada	CanDSte	10	D	Ste	2797	4275	6745	9390	11131	9310	1489	1411	NA	NA	NA	NA
Italie	ItaDSte	10	D	Ste	3777	6797	9599	12871	7222	6467	NA	NA	NA	NA	NA	NA
Grèce	GrePSte	10	P	Ste	2579	4618	7568	9709	11924	5466	3889	1373	1272	NA	NA	NA
Italie	ItaPSte	10	P	Ste	2485	4241	7098	7761	7787	5405	4608	NA	NA	NA	NA	NA
Canada	CanPSte	10	P	Ste	2326	4289	6746	9234	12321	7502	4771	3621	1178	NA	NA	NA
Grèce	GreDBact	10	D	Bact	3024	5033	7882	10465	11413	2541	1277	1297	NA	NA	NA	NA
Italie	ItaDBact	10	D	Bact	3074	5729	9322	12162	9788	1315	1198	NA	NA	NA	NA	NA
Canada	CanDBact	10	D	Bact	2415	4403	6011	8531	10285	9752	7282	3099	1813	NA	NA	NA
