Rep,Bloc,Trt,Strain,Time,Mass,Number,Mean,Survival,Biomass
EspC1,B1,C,Esp,11,4787,10,478.7,10,4787
EspC1,B1,C,Esp,12,5079,10,507.9,10,5079
EspC1,B1,C,Esp,13,5053,10,505.3,10,5053
EspC1,B1,C,Esp,14,5476,10,547.6,10,5476
EspC1,B1,C,Esp,2,2760,10,276,10,2760
EspC1,B1,C,Esp,3,3046,10,304.6,10,3046
EspC1,B1,C,Esp,4,3181,10,318.1,10,3181
EspC1,B1,C,Esp,5,3246,10,324.6,10,3246
EspC1,B1,C,Esp,6,3431,10,343.1,10,3431
EspC1,B1,C,Esp,7,3652,10,365.2,10,3652
EspC1,B1,C,Esp,8,3997,10,399.7,10,3997
EspC1,B1,C,Esp,9,3987,10,398.7,10,3987
EspC10,B10,C,Esp,0,2400,10,240,10,2400
EspC10,B10,C,Esp,1,2553,10,255.3,10,2553
EspC10,B10,C,Esp,10,4028,9,447.55555555555554,9,4028
EspC10,B10,C,Esp,11,4455,9,495,9,4455
EspC10,B10,C,Esp,12,4220,8,527.5,8,4220
EspC10,B10,C,Esp,13,4237,8,529.625,8,4237
EspC10,B10,C,Esp,14,4315,7,616.4285714285714,7,4315
EspC10,B10,C,Esp,2,2972,10,297.2,10,2972
EspC10,B10,C,Esp,3,3168,10,316.8,10,3168
EspC10,B10,C,Esp,4,3340,10,334,10,3340
EspC10,B10,C,Esp,5,3555,10,355.5,10,3555
EspC10,B10,C,Esp,6,3632,10,363.2,10,3632
EspC10,B10,C,Esp,7,3760,10,376,10,3760
EspC10,B10,C,Esp,8,4070,10,407,10,4070
EspC10,B10,C,Esp,9,4379,10,437.9,10,4379
EspC2,B2,C,Esp,0,2275,10,227.5,10,2275
EspC2,B2,C,Esp,1,2892,10,289.2,10,2892
EspC2,B2,C,Esp,10,4896,10,489.6,10,4896
EspC2,B2,C,Esp,11,5434,10,543.4,10,5434
EspC2,B2,C,Esp,12,6101,10,610.1,10,6101
EspC2,B2,C,Esp,13,6060,10,606,10,6060
EspC2,B2,C,Esp,14,6467,10,646.7,10,6467
EspC2,B2,C,Esp,2,3022,10,302.2,10,3022
EspC2,B2,C,Esp,3,3415,10,341.5,10,3415
EspC2,B2,C,Esp,4,3548,10,354.8,10,3548
EspC2,B2,C,Esp,5,3829,10,382.9,10,3829
EspC2,B2,C,Esp,6,3749,10,374.9,10,3749
EspC2,B2,C,Esp,7,3837,10,383.7,10,3837
EspC2,B2,C,Esp,8,4137,10,413.7,10,4137
EspC2,B2,C,Esp,9,4161,10,416.1,10,4161
EspC3,B3,C,Esp,0,2097,10,209.7,10,2097
EspC3,B3,C,Esp,1,2089,9,232.11111111111111,9,2089
EspC3,B3,C,Esp,10,3706,8,463.25,8,3706
EspC3,B3,C,Esp,11,4035,8,504.375,8,4035
EspC3,B3,C,Esp,12,4167,8,520.875,8,4167
EspC3,B3,C,Esp,13,4211,8,526.375,8,4211
EspC3,B3,C,Esp,14,4344,8,543,8,4344
EspC3,B3,C,Esp,2,2417,9,268.55555555555554,9,2417
EspC3,B3,C,Esp,3,2626,9,291.77777777777777,9,2626
EspC3,B3,C,Esp,4,2717,9,301.8888888888889,9,2717
EspC3,B3,C,Esp,5,2650,8,331.25,8,2650
EspC3,B3,C,Esp,6,2832,8,354,8,2832
EspC3,B3,C,Esp,7,2702,8,337.75,8,2702
EspC3,B3,C,Esp,8,3048,8,381,8,3048
EspC3,B3,C,Esp,9,3413,8,426.625,8,3413
EspC4,B4,C,Esp,0,2395,10,239.5,10,2395
EspC4,B4,C,Esp,1,2884,10,288.4,10,2884
EspC4,B4,C,Esp,10,5202,9,578,9,5202
EspC4,B4,C,Esp,11,5181,9,575.6666666666666,9,5181
EspC4,B4,C,Esp,12,5367,9,596.3333333333334,9,5367
EspC4,B4,C,Esp,13,5910,9,656.6666666666666,9,5910
EspC4,B4,C,Esp,14,6345,9,705,9,6345
EspC4,B4,C,Esp,2,3440,10,344,10,3440
EspC4,B4,C,Esp,3,3259,10,325.9,10,3259
EspC4,B4,C,Esp,4,3730,10,373,10,3730
