Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Acc,Times
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,18,568.8333333333333,18
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,2,-35.5,2
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,4,72.61111111111109,4
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,7,63.27777777777783,7
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,9,226.07142857142856,9
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,11,490.89999999999986,11
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,14,738.3999999999999,14
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,16,760.8999999999999,16
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,18,754.3999999999999,18
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,2,63.5,2
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,4,76.09999999999991,4
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,7,271.9,7
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,9,380.0999999999999,9
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,11,351.2,11
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,14,486.03333333333336,14
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,16,571.0333333333333,16
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,18,596.0333333333333,18
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,2,25.5,2
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,4,45.36666666666662,4
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,7,108.53333333333336,7
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,9,296.03333333333336,9
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,11,421.8222222222222,11
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,14,548.6,14
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,16,653.85,16
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,18,689.1,18
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,2,131.37777777777785,2
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,4,191.7111111111111,4
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,7,213.26666666666665,7
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,9,317.8222222222222,9
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,11,462.80000000000007,11
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,14,587.3,14
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,16,655.5,16
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,18,730.3111111111111,18
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,2,93.30000000000007,2
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,4,228.80000000000007,4
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,7,284.20000000000005,7
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,9,390.80000000000007,9
12-Can3BacSer-B3,B3,Bac,Ser,Can,4748,10,474.8,Ser Bac,11,305.3,11
12-Can3BacSer-B3,B3,Bac,Ser,Can,4748,10,474.8,Ser Bac,14,517,14
12-Can3BacSer-B3,B3,Bac,Ser,Can,4748,10,474.8,Ser Bac,16,586.1000000000001,16
12-Can3BacSer-B3,B3,Bac,Ser,Can,4748,10,474.8,Ser Bac,18,543.088888888889,18
12-Can3BacSer-B3,B3,Bac,Ser,Can,4748,10,474.8,Ser Bac,2,83.49999999999994,2
12-Can3BacSer-B3,B3,Bac,Ser,Can,4748,10,474.8,Ser Bac,4,112.59999999999997,4
12-Can3BacSer-B3,B3,Bac,Ser,Can,4748,10,474.8,Ser Bac,7,199.2,7
