Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Rate,Times
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,2,41.09999999999999,2
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,4,29.100000000000023,4
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,7,-2.400000000000015,7
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,5970,10,597,Ste Lev,9,45.55000000000001,9
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,11,33.299999999999955,11
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,14,64.70000000000005,14
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,16,57.19999999999993,16
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,18,15.394444444444503,18
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,2,52.46666666666666,2
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,4,47.85000000000002,4
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,7,27.73333333333335,7
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4454,10,445.4,Non Bac,9,88.64999999999998,9
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,11,51.30000000000007,11
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,14,42.433333333333316,14
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,16,36.75,16
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,18,22.75,18
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,2,29.26666666666665,2
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,4,44.30000000000001,4
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,7,41,7
11-Ita10ConNon-B10,B10,Con,Non,Ita,4921,10,492.1,Non Con,9,101.64999999999998,9
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,11,60.10000000000002,11
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,14,93.73333333333335,14
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,16,-7.800000000000068,16
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,18,-16.066666666666606,18
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,2,18.933333333333355,2
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,4,14.949999999999989,4
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,7,36.133333333333326,7
11-Ita1ConNon-B1,B1,Con,Non,Ita,5374,10,537.4,Non Con,9,51.75,9
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,11,60.5,11
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,14,33.04761904761904,14
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,16,48.55952380952385,16
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,18,12.749999999999943,18
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,2,-11.833333333333334,2
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,4,54.05555555555554,4
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,7,-3.111111111111086,7
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,4595,10,459.5,Ser Bac,9,81.39682539682536,9
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,11,55.39999999999998,11
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,14,82.5,14
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,16,11.25,16
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,18,-3.25,18
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,2,21.166666666666668,2
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,4,6.2999999999999545,4
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,7,65.2666666666667,7
11-Ita5ConSte-B5,B5,Con,Ste,Ita,6032,10,603.2,Ste Con,9,54.099999999999966,9
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,11,27.583333333333314,11
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,14,44.94444444444446,14
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,16,42.49999999999994,16
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,18,12.5,18
