Identity,Bloc,Trt,Wound,Strain,Time,Initial_Mass,Initial_Number,Initial_Mean,Mean,group,Mort_Acc,Times,Biomass
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,18,6575,10,657.5,1104,Gre Ser,2,18,8832
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,2,6575,10,657.5,734.8,Gre Ser,0,2,7348
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,4,6575,10,657.5,752.5,Gre Ser,0,4,7525
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,7,6575,10,657.5,738.1,Gre Ser,0,7,7381
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,9,6575,10,657.5,852.7,Gre Ser,0,9,8527
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,0,5161,10,516.1,516.1,Ita Ste,0,0,5161
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,11,5161,10,516.1,936.5,Ita Ste,0,11,9365
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,14,5161,10,516.1,1209.2,Ita Ste,0,14,12092
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,16,5161,10,516.1,1242.7,Ita Ste,0,16,12427
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,18,5161,10,516.1,1236.2,Ita Ste,0,18,12362
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,2,5161,10,516.1,616,Ita Ste,0,2,6160
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,4,5161,10,516.1,712.2,Ita Ste,0,4,7122
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,7,5161,10,516.1,784.9,Ita Ste,0,7,7849
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,9,5161,10,516.1,858.7,Ita Ste,0,9,8587
10-Ita9BacNon-B9,B9,Bac,Non,Ita,0,5245,10,524.5,524.5,Ita Non,0,0,5245
10-Ita9BacNon-B9,B9,Bac,Non,Ita,11,5245,10,524.5,999.9,Ita Non,0,11,9999
10-Ita9BacNon-B9,B9,Bac,Non,Ita,14,5245,10,524.5,1209.4,Ita Non,0,14,12094
10-Ita9BacNon-B9,B9,Bac,Non,Ita,16,5245,10,524.5,1238.7777777777778,Ita Non,0,16,12387.777777777777
10-Ita9BacNon-B9,B9,Bac,Non,Ita,18,5245,10,524.5,1262.3333333333333,Ita Non,0,18,12623.333333333332
10-Ita9BacNon-B9,B9,Bac,Non,Ita,2,5245,10,524.5,571.5,Ita Non,0,2,5715
