"","Identity","Bloc","Trt","Wound","Strain","Time","Survival","Initial_Mass","Initial_Number","Initial_Mean","group","Growth_Acc","Times","Biom_Acc"
"154","10-Ita9BacNon-B9","B9","Bac","Non","Ita","14",10,5245,10,524.5,"Non Bac",684.9,"14",6849
"155","10-Ita9BacNon-B9","B9","Bac","Non","Ita","16",10,5245,10,524.5,"Non Bac",714.277777777778,"16",7142.77777777778
"156","10-Ita9BacNon-B9","B9","Bac","Non","Ita","18",10,5245,10,524.5,"Non Bac",737.833333333333,"18",7378.33333333333
"157","10-Ita9BacNon-B9","B9","Bac","Non","Ita","2",10,5245,10,524.5,"Non Bac",47,"2",470
"158","10-Ita9BacNon-B9","B9","Bac","Non","Ita","4",10,5245,10,524.5,"Non Bac",149.4,"4",1494
"159","10-Ita9BacNon-B9","B9","Bac","Non","Ita","7",10,5245,10,524.5,"Non Bac",266.5,"7",2665
"160","10-Ita9BacNon-B9","B9","Bac","Non","Ita","9",10,5245,10,524.5,"Non Bac",387.8,"9",3878
"161","11-Can2LevSer-B2","B2","Lev","Ser","Can","11",8,5956,10,595.6,"Ser Lev",488.15,"11",3905.2
"162","11-Can2LevSer-B2","B2","Lev","Ser","Can","14",8,5956,10,595.6,"Ser Lev",573.775,"14",4590.2
"163","11-Can2LevSer-B2","B2","Lev","Ser","Can","16",8,5956,10,595.6,"Ser Lev",609.971428571429,"16",4879.77142857143
"164","11-Can2LevSer-B2","B2","Lev","Ser","Can","18",8,5956,10,595.6,"Ser Lev",592.542857142857,"18",4740.34285714286
"165","11-Can2LevSer-B2","B2","Lev","Ser","Can","2",9,5956,10,595.6,"Ser Lev",81.1777777777778,"2",730.6
"166","11-Can2LevSer-B2","B2","Lev","Ser","Can","4",8,5956,10,595.6,"Ser Lev",222.15,"4",1777.2
"167","11-Can2LevSer-B2","B2","Lev","Ser","Can","7",8,5956,10,595.6,"Ser Lev",307.65,"7",2461.2
"168","11-Can2LevSer-B2","B2","Lev","Ser","Can","9",8,5956,10,595.6,"Ser Lev",391.525,"9",3132.2
"169","11-Can7LevSte-B7","B7","Lev","Ste","Can","11",10,4407,10,440.7,"Ste Lev",390.8,"11",3908
"170","11-Can7LevSte-B7","B7","Lev","Ste","Can","14",10,4407,10,440.7,"Ste Lev",607.6,"14",6076
"171","11-Can7LevSte-B7","B7","Lev","Ste","Can","16",10,4407,10,440.7,"Ste Lev",653.9,"16",6539
"172","11-Can7LevSte-B7","B7","Lev","Ste","Can","18",10,4407,10,440.7,"Ste Lev",640.6,"18",6406
"173","11-Can7LevSte-B7","B7","Lev","Ste","Can","2",10,4407,10,440.7,"Ste Lev",100.8,"2",1008
"174","11-Can7LevSte-B7","B7","Lev","Ste","Can","4",10,4407,10,440.7,"Ste Lev",143.8,"4",1438
"175","11-Can7LevSte-B7","B7","Lev","Ste","Can","7",10,4407,10,440.7,"Ste Lev",238.2,"7",2382
"176","11-Can7LevSte-B7","B7","Lev","Ste","Can","9",10,4407,10,440.7,"Ste Lev",350.6,"9",3506
"177","11-Gre4LevSte-B4","B4","Lev","Ste","Gre","11",10,5970,10,597,"Ste Lev",363.2,"11",3632
"178","11-Gre4LevSte-B4","B4","Lev","Ste","Gre","14",10,5970,10,597,"Ste Lev",546.2,"14",5462
"179","11-Gre4LevSte-B4","B4","Lev","Ste","Gre","16",10,5970,10,597,"Ste Lev",546.3,"16",5463
"180","11-Gre4LevSte-B4","B4","Lev","Ste","Gre","18",10,5970,10,597,"Ste Lev",518.6,"18",5186
"181","11-Gre4LevSte-B4","B4","Lev","Ste","Gre","2",10,5970,10,597,"Ste Lev",123.3,"2",1233
"182","11-Gre4LevSte-B4","B4","Lev","Ste","Gre","4",10,5970,10,597,"Ste Lev",181.5,"4",1815
"183","11-Gre4LevSte-B4","B4","Lev","Ste","Gre","7",10,5970,10,597,"Ste Lev",174.3,"7",1743
"184","11-Gre4LevSte-B4","B4","Lev","Ste","Gre","9",10,5970,10,597,"Ste Lev",265.4,"9",2654
"185","11-Gre9BacNon-B9","B9","Bac","Non","Gre","11",10,4454,10,445.4,"Non Bac",580.2,"11",5802
"186","11-Gre9BacNon-B9","B9","Bac","Non","Gre","14",10,4454,10,445.4,"Non Bac",774.3,"14",7743
"187","11-Gre9BacNon-B9","B9","Bac","Non","Gre","16",10,4454,10,445.4,"Non Bac",888.7,"16",8887
"188","11-Gre9BacNon-B9","B9","Bac","Non","Gre","18",10,4454,10,445.4,"Non Bac",919.488888888889,"18",9194.88888888889
"189","11-Gre9BacNon-B9","B9","Bac","Non","Gre","2",10,4454,10,445.4,"Non Bac",157.4,"2",1574
"190","11-Gre9BacNon-B9","B9","Bac","Non","Gre","4",10,4454,10,445.4,"Non Bac",253.1,"4",2531
"191","11-Gre9BacNon-B9","B9","Bac","Non","Gre","7",10,4454,10,445.4,"Non Bac",336.3,"7",3363
"192","11-Gre9BacNon-B9","B9","Bac","Non","Gre","9",10,4454,10,445.4,"Non Bac",513.6,"9",5136
"193","11-Ita10ConNon-B10","B10","Con","Non","Ita","11",10,4921,10,492.1,"Non Con",605.3,"11",6053
"194","11-Ita10ConNon-B10","B10","Con","Non","Ita","14",10,4921,10,492.1,"Non Con",732.6,"14",7326
"195","11-Ita10ConNon-B10","B10","Con","Non","Ita","16",10,4921,10,492.1,"Non Con",806.1,"16",8061
"196","11-Ita10ConNon-B10","B10","Con","Non","Ita","18",10,4921,10,492.1,"Non Con",851.6,"18",8516
"197","11-Ita10ConNon-B10","B10","Con","Non","Ita","2",10,4921,10,492.1,"Non Con",87.8,"2",878
"198","11-Ita10ConNon-B10","B10","Con","Non","Ita","4",10,4921,10,492.1,"Non Con",176.4,"4",1764
"199","11-Ita10ConNon-B10","B10","Con","Non","Ita","7",10,4921,10,492.1,"Non Con",299.4,"7",2994
"200","11-Ita10ConNon-B10","B10","Con","Non","Ita","9",10,4921,10,492.1,"Non Con",502.7,"9",5027
"201","11-Ita1ConNon-B1","B1","Con","Non","Ita","11",10,5374,10,537.4,"Non Con",418.8,"11",4188
"202","11-Ita1ConNon-B1","B1","Con","Non","Ita","14",10,5374,10,537.4,"Non Con",700,"14",7000
"203","11-Ita1ConNon-B1","B1","Con","Non","Ita","16",10,5374,10,537.4,"Non Con",684.4,"16",6844
"204","11-Ita1ConNon-B1","B1","Con","Non","Ita","18",10,5374,10,537.4,"Non Con",652.266666666667,"18",6522.66666666667
"205","11-Ita1ConNon-B1","B1","Con","Non","Ita","2",10,5374,10,537.4,"Non Con",56.8000000000001,"2",568.000000000001
"206","11-Ita1ConNon-B1","B1","Con","Non","Ita","4",10,5374,10,537.4,"Non Con",86.7,"4",867
"207","11-Ita1ConNon-B1","B1","Con","Non","Ita","7",10,5374,10,537.4,"Non Con",195.1,"7",1951
"208","11-Ita1ConNon-B1","B1","Con","Non","Ita","9",10,5374,10,537.4,"Non Con",298.6,"9",2986
"209","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","11",7,4595,10,459.5,"Ser Bac",347.071428571429,"11",2429.5
"210","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","14",7,4595,10,459.5,"Ser Bac",446.214285714286,"14",3123.5
"211","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","16",6,4595,10,459.5,"Ser Bac",543.333333333333,"16",3260
"212","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","18",6,4595,10,459.5,"Ser Bac",568.833333333333,"18",3413
"213","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","2",10,4595,10,459.5,"Ser Bac",-35.5,"2",-355
"214","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","4",9,4595,10,459.5,"Ser Bac",72.6111111111111,"4",653.5
"215","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","7",9,4595,10,459.5,"Ser Bac",63.2777777777778,"7",569.5
"216","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","9",7,4595,10,459.5,"Ser Bac",226.071428571429,"9",1582.5
"217","11-Ita5ConSte-B5","B5","Con","Ste","Ita","11",10,6032,10,603.2,"Ste Con",490.9,"11",4909
