"","Identity","Bloc","Trt","Wound","Strain","Initial_Mass","Initial_Number","Initial_Mean","group","Time","Growth_Acc","Times"
"151","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",7,268.8,"7"
"152","10-Ita7LevSte-B7","B7","Lev","Ste","Ita",5161,10,516.1,"Ste Lev",9,342.6,"9"
"153","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",11,475.4,"11"
"154","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",14,684.9,"14"
"155","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",16,714.277777777778,"16"
"156","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",18,737.833333333333,"18"
"157","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",2,47,"2"
"158","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",4,149.4,"4"
"159","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",7,266.5,"7"
"160","10-Ita9BacNon-B9","B9","Bac","Non","Ita",5245,10,524.5,"Non Bac",9,387.8,"9"
"161","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",11,488.15,"11"
"162","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",14,573.775,"14"
"163","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",16,609.971428571429,"16"
"164","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",18,592.542857142857,"18"
"165","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",2,81.1777777777778,"2"
"166","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",4,222.15,"4"
"167","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",7,307.65,"7"
"168","11-Can2LevSer-B2","B2","Lev","Ser","Can",5956,10,595.6,"Ser Lev",9,391.525,"9"
"169","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",11,390.8,"11"
"170","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",14,607.6,"14"
"171","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",16,653.9,"16"
"172","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",18,640.6,"18"
"173","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",2,100.8,"2"
"174","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",4,143.8,"4"
"175","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",7,238.2,"7"
"176","11-Can7LevSte-B7","B7","Lev","Ste","Can",4407,10,440.7,"Ste Lev",9,350.6,"9"
"177","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",11,363.2,"11"
"178","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",14,546.2,"14"
"179","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",16,546.3,"16"
"180","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",18,518.6,"18"
"181","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",2,123.3,"2"
"182","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",4,181.5,"4"
"183","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",7,174.3,"7"
"184","11-Gre4LevSte-B4","B4","Lev","Ste","Gre",5970,10,597,"Ste Lev",9,265.4,"9"
"185","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",11,580.2,"11"
"186","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",14,774.3,"14"
"187","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",16,888.7,"16"
"188","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",18,919.488888888889,"18"
"189","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",2,157.4,"2"
"190","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",4,253.1,"4"
"191","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",7,336.3,"7"
"192","11-Gre9BacNon-B9","B9","Bac","Non","Gre",4454,10,445.4,"Non Bac",9,513.6,"9"
"193","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",11,605.3,"11"
"194","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",14,732.6,"14"
"195","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",16,806.1,"16"
"196","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",18,851.6,"18"
"197","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",2,87.8,"2"
"198","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",4,176.4,"4"
"199","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",7,299.4,"7"
"200","11-Ita10ConNon-B10","B10","Con","Non","Ita",4921,10,492.1,"Non Con",9,502.7,"9"
"201","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",11,418.8,"11"
"202","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",14,700,"14"
"203","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",16,684.4,"16"
"204","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",18,652.266666666667,"18"
"205","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",2,56.8000000000001,"2"
"206","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",4,86.7,"4"
"207","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",7,195.1,"7"
"208","11-Ita1ConNon-B1","B1","Con","Non","Ita",5374,10,537.4,"Non Con",9,298.6,"9"
"209","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",11,347.071428571429,"11"
"210","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",14,446.214285714286,"14"
"211","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",16,543.333333333333,"16"
