"","Identity","Bloc","Trt","Wound","Strain","group","Time","Mort_Acc","Times"
"295","6-Gre2LevNon-B2","B2","Lev","Non","Gre","Gre Non",14,0,"14"
"296","6-Gre2LevNon-B2","B2","Lev","Non","Gre","Gre Non",16,0,"16"
"297","6-Gre2LevNon-B2","B2","Lev","Non","Gre","Gre Non",18,0,"18"
"298","7-Can2BacSte-B2","B2","Bac","Ste","Can","Can Ste",0,0,"0"
"299","7-Can2BacSte-B2","B2","Bac","Ste","Can","Can Ste",2,0,"2"
"300","7-Can2BacSte-B2","B2","Bac","Ste","Can","Can Ste",4,1,"4"
"301","7-Can2BacSte-B2","B2","Bac","Ste","Can","Can Ste",7,1,"7"
"302","7-Can2BacSte-B2","B2","Bac","Ste","Can","Can Ste",9,1,"9"
"303","7-Can2BacSte-B2","B2","Bac","Ste","Can","Can Ste",11,1,"11"
"304","7-Can2BacSte-B2","B2","Bac","Ste","Can","Can Ste",14,1,"14"
"305","7-Can2BacSte-B2","B2","Bac","Ste","Can","Can Ste",16,1,"16"
"306","7-Can2BacSte-B2","B2","Bac","Ste","Can","Can Ste",18,1,"18"
"307","8-Gre2BacSte-B2","B2","Bac","Ste","Gre","Gre Ste",0,0,"0"
"308","8-Gre2BacSte-B2","B2","Bac","Ste","Gre","Gre Ste",2,0,"2"
