Rep,Bloc,Trt,Strain,Time,Survival,Mortality
EspC5,B5,C,Esp,9,10,0
EspC5,B5,C,Esp,10,10,0
EspC5,B5,C,Esp,11,10,0
EspC5,B5,C,Esp,12,10,0
EspC5,B5,C,Esp,13,10,0
EspC5,B5,C,Esp,14,10,0
EspC5,B5,C,Esp,0,10,0
EspC6,B6,C,Esp,1,10,0
EspC6,B6,C,Esp,2,10,0
EspC6,B6,C,Esp,3,10,0
EspC6,B6,C,Esp,4,10,0
EspC6,B6,C,Esp,5,10,0
EspC6,B6,C,Esp,6,10,0
EspC6,B6,C,Esp,7,10,0
EspC6,B6,C,Esp,8,10,0
EspC6,B6,C,Esp,9,10,0
EspC6,B6,C,Esp,10,10,0
EspC6,B6,C,Esp,11,10,0
EspC6,B6,C,Esp,12,10,0
EspC6,B6,C,Esp,13,10,0
EspC6,B6,C,Esp,14,10,0
EspC6,B6,C,Esp,0,10,0
EspC7,B7,C,Esp,1,9,10
EspC7,B7,C,Esp,2,9,10
EspC7,B7,C,Esp,3,9,10
EspC7,B7,C,Esp,4,9,10
EspC7,B7,C,Esp,5,9,10
EspC7,B7,C,Esp,6,9,10
EspC7,B7,C,Esp,7,9,10
EspC7,B7,C,Esp,8,8,20
EspC7,B7,C,Esp,9,8,20
EspC7,B7,C,Esp,10,8,20
EspC7,B7,C,Esp,11,8,20
EspC7,B7,C,Esp,12,8,20
EspC7,B7,C,Esp,13,8,20
EspC7,B7,C,Esp,14,8,20
EspC7,B7,C,Esp,0,10,0
EspC8,B8,C,Esp,1,9,10
EspC8,B8,C,Esp,2,9,10
EspC8,B8,C,Esp,3,9,10
EspC8,B8,C,Esp,4,9,10
EspC8,B8,C,Esp,5,9,10
EspC8,B8,C,Esp,6,8,20
EspC8,B8,C,Esp,7,8,20
EspC8,B8,C,Esp,8,8,20
EspC8,B8,C,Esp,9,8,20
EspC8,B8,C,Esp,10,8,20
EspC8,B8,C,Esp,11,8,20
EspC8,B8,C,Esp,12,8,20
EspC8,B8,C,Esp,13,8,20
EspC8,B8,C,Esp,14,8,20
EspC8,B8,C,Esp,0,10,0
EspC9,B9,C,Esp,1,10,0
EspC9,B9,C,Esp,2,8,20
EspC9,B9,C,Esp,3,8,20
EspC9,B9,C,Esp,4,8,20
EspC9,B9,C,Esp,5,8,20
EspC9,B9,C,Esp,6,8,20
EspC9,B9,C,Esp,7,8,20
EspC9,B9,C,Esp,8,8,20
EspC9,B9,C,Esp,9,8,20
EspC9,B9,C,Esp,10,8,20
EspC9,B9,C,Esp,11,8,20
EspC9,B9,C,Esp,12,8,20
EspC9,B9,C,Esp,13,8,20
EspC9,B9,C,Esp,14,7,30
EspC9,B9,C,Esp,0,10,0
FraB1,B1,B,Fra,1,10,0
FraB1,B1,B,Fra,2,10,0
FraB1,B1,B,Fra,3,10,0
FraB1,B1,B,Fra,4,10,0
FraB1,B1,B,Fra,5,10,0
FraB1,B1,B,Fra,6,10,0
FraB1,B1,B,Fra,7,10,0
FraB1,B1,B,Fra,8,10,0
FraB1,B1,B,Fra,9,10,0
FraB1,B1,B,Fra,10,10,0
FraB1,B1,B,Fra,11,10,0
FraB1,B1,B,Fra,12,10,0
FraB1,B1,B,Fra,13,10,0
FraB1,B1,B,Fra,14,10,0
FraB1,B1,B,Fra,0,10,0
FraB10,B10,B,Fra,1,8,20
FraB10,B10,B,Fra,2,8,20
FraB10,B10,B,Fra,3,8,20
FraB10,B10,B,Fra,4,7,30
FraB10,B10,B,Fra,5,7,30
FraB10,B10,B,Fra,6,7,30
FraB10,B10,B,Fra,7,7,30
FraB10,B10,B,Fra,8,7,30
FraB10,B10,B,Fra,9,7,30
FraB10,B10,B,Fra,10,7,30
FraB10,B10,B,Fra,11,7,30
FraB10,B10,B,Fra,12,7,30
FraB10,B10,B,Fra,13,7,30
FraB10,B10,B,Fra,14,7,30
FraB10,B10,B,Fra,0,10,0
FraB2,B2,B,Fra,1,10,0
FraB2,B2,B,Fra,2,10,0
FraB2,B2,B,Fra,3,10,0
FraB2,B2,B,Fra,4,10,0
FraB2,B2,B,Fra,5,10,0
FraB2,B2,B,Fra,6,10,0
FraB2,B2,B,Fra,7,10,0
FraB2,B2,B,Fra,8,10,0
FraB2,B2,B,Fra,9,10,0
FraB2,B2,B,Fra,10,10,0
FraB2,B2,B,Fra,11,10,0
FraB2,B2,B,Fra,12,10,0
FraB2,B2,B,Fra,13,9,10
FraB2,B2,B,Fra,14,9,10
FraB2,B2,B,Fra,0,10,0
FraB3,B3,B,Fra,1,10,0
FraB3,B3,B,Fra,2,10,0
FraB3,B3,B,Fra,3,10,0
FraB3,B3,B,Fra,4,10,0
FraB3,B3,B,Fra,5,10,0
FraB3,B3,B,Fra,6,10,0
FraB3,B3,B,Fra,7,10,0
FraB3,B3,B,Fra,8,10,0
FraB3,B3,B,Fra,9,10,0
FraB3,B3,B,Fra,10,10,0
FraB3,B3,B,Fra,11,10,0
FraB3,B3,B,Fra,12,10,0
FraB3,B3,B,Fra,13,10,0
FraB3,B3,B,Fra,14,10,0
FraB3,B3,B,Fra,0,10,0
FraB4,B4,B,Fra,1,10,0
FraB4,B4,B,Fra,2,9,10
FraB4,B4,B,Fra,3,9,10
FraB4,B4,B,Fra,4,9,10
FraB4,B4,B,Fra,5,9,10
FraB4,B4,B,Fra,6,9,10
FraB4,B4,B,Fra,7,9,10
FraB4,B4,B,Fra,8,9,10
FraB4,B4,B,Fra,9,9,10
FraB4,B4,B,Fra,10,9,10
FraB4,B4,B,Fra,11,9,10
FraB4,B4,B,Fra,12,9,10
FraB4,B4,B,Fra,13,9,10
FraB4,B4,B,Fra,14,9,10
FraB4,B4,B,Fra,0,10,0
FraB5,B5,B,Fra,1,10,0
FraB5,B5,B,Fra,2,10,0
FraB5,B5,B,Fra,3,10,0
FraB5,B5,B,Fra,4,10,0
FraB5,B5,B,Fra,5,10,0
FraB5,B5,B,Fra,6,10,0
FraB5,B5,B,Fra,7,10,0
FraB5,B5,B,Fra,8,10,0
FraB5,B5,B,Fra,9,10,0
FraB5,B5,B,Fra,10,10,0
FraB5,B5,B,Fra,11,10,0
FraB5,B5,B,Fra,12,10,0
FraB5,B5,B,Fra,13,10,0
FraB5,B5,B,Fra,14,10,0
FraB5,B5,B,Fra,0,10,0
FraB6,B6,B,Fra,1,10,0
FraB6,B6,B,Fra,2,10,0
FraB6,B6,B,Fra,3,10,0
FraB6,B6,B,Fra,4,10,0
FraB6,B6,B,Fra,5,10,0
FraB6,B6,B,Fra,6,10,0
FraB6,B6,B,Fra,7,10,0
FraB6,B6,B,Fra,8,10,0
FraB6,B6,B,Fra,9,10,0
FraB6,B6,B,Fra,10,10,0
FraB6,B6,B,Fra,11,10,0
FraB6,B6,B,Fra,12,10,0
FraB6,B6,B,Fra,13,10,0
FraB6,B6,B,Fra,14,10,0
FraB6,B6,B,Fra,0,10,0
FraB7,B7,B,Fra,1,10,0
FraB7,B7,B,Fra,2,9,10
FraB7,B7,B,Fra,3,9,10
FraB7,B7,B,Fra,4,9,10
FraB7,B7,B,Fra,5,9,10
FraB7,B7,B,Fra,6,9,10
FraB7,B7,B,Fra,7,9,10
FraB7,B7,B,Fra,8,9,10
FraB7,B7,B,Fra,9,9,10
FraB7,B7,B,Fra,10,9,10
FraB7,B7,B,Fra,11,9,10
FraB7,B7,B,Fra,12,9,10
FraB7,B7,B,Fra,13,9,10
FraB7,B7,B,Fra,14,8,20
FraB7,B7,B,Fra,0,10,0
FraB8,B8,B,Fra,1,10,0
FraB8,B8,B,Fra,2,10,0
