Rep,Bloc,Trt,Strain,Time,Growth
EspC4,B4,C,Esp,14,48.33333333333337
EspC4,B4,C,Esp,2,55.60000000000002
EspC4,B4,C,Esp,3,-18.100000000000023
EspC4,B4,C,Esp,4,47.10000000000002
EspC4,B4,C,Esp,5,17.19999999999999
EspC4,B4,C,Esp,6,23.400000000000034
EspC4,B4,C,Esp,7,3
EspC4,B4,C,Esp,8,83.73333333333329
EspC4,B4,C,Esp,9,15.333333333333314
EspC5,B5,C,Esp,0,0
EspC5,B5,C,Esp,1,31.30000000000001
EspC5,B5,C,Esp,10,48.19999999999999
EspC5,B5,C,Esp,11,18.30000000000001
EspC5,B5,C,Esp,12,48.39999999999998
EspC5,B5,C,Esp,13,60.5
EspC5,B5,C,Esp,14,57.799999999999955
EspC5,B5,C,Esp,2,42.80000000000001
EspC5,B5,C,Esp,3,17.5
EspC5,B5,C,Esp,4,27.19999999999999
EspC5,B5,C,Esp,5,29.19999999999999
EspC5,B5,C,Esp,6,13.600000000000023
EspC5,B5,C,Esp,7,15
EspC5,B5,C,Esp,8,26.80000000000001
EspC5,B5,C,Esp,9,39
EspC6,B6,C,Esp,0,0
EspC6,B6,C,Esp,1,55.39999999999998
EspC6,B6,C,Esp,10,61.80000000000007
EspC6,B6,C,Esp,11,13.799999999999955
EspC6,B6,C,Esp,12,39.89999999999998
EspC6,B6,C,Esp,13,45.10000000000002
EspC6,B6,C,Esp,14,37.60000000000002
EspC6,B6,C,Esp,2,55.30000000000001
EspC6,B6,C,Esp,3,-22.69999999999999
EspC6,B6,C,Esp,4,22.19999999999999
EspC6,B6,C,Esp,5,10.400000000000034
EspC6,B6,C,Esp,6,13.299999999999955
EspC6,B6,C,Esp,7,37.900000000000034
EspC6,B6,C,Esp,8,20.80000000000001
EspC6,B6,C,Esp,9,44.299999999999955
EspC7,B7,C,Esp,0,0
EspC7,B7,C,Esp,1,38.888888888888914
EspC7,B7,C,Esp,10,68.5
EspC7,B7,C,Esp,11,16
EspC7,B7,C,Esp,12,40.875
EspC7,B7,C,Esp,13,53
EspC7,B7,C,Esp,14,5.125
EspC7,B7,C,Esp,2,21.4444444444444
EspC7,B7,C,Esp,3,28
EspC7,B7,C,Esp,4,28.444444444444457
EspC7,B7,C,Esp,5,24.666666666666686
EspC7,B7,C,Esp,6,13.111111111111086
EspC7,B7,C,Esp,7,23.33333333333337
EspC7,B7,C,Esp,8,49.111111111111086
EspC7,B7,C,Esp,9,-3.75
EspC8,B8,C,Esp,0,0
EspC8,B8,C,Esp,1,43.71111111111108
EspC8,B8,C,Esp,10,132
EspC8,B8,C,Esp,11,24.75
EspC8,B8,C,Esp,12,18.25
EspC8,B8,C,Esp,13,34.75
EspC8,B8,C,Esp,14,79.625
EspC8,B8,C,Esp,2,65.66666666666669
EspC8,B8,C,Esp,3,12.333333333333314
EspC8,B8,C,Esp,4,15.444444444444457
EspC8,B8,C,Esp,5,14.555555555555543
EspC8,B8,C,Esp,6,28.763888888888914
EspC8,B8,C,Esp,7,3.875
EspC8,B8,C,Esp,8,15.25
EspC8,B8,C,Esp,9,-9.625
EspC9,B9,C,Esp,0,0
EspC9,B9,C,Esp,1,-10.099999999999994
EspC9,B9,C,Esp,10,23.75
EspC9,B9,C,Esp,11,38.125
EspC9,B9,C,Esp,12,60.5
EspC9,B9,C,Esp,13,7.875
EspC9,B9,C,Esp,14,68.75
EspC9,B9,C,Esp,2,60.5
EspC9,B9,C,Esp,3,11.625
EspC9,B9,C,Esp,4,29.375
EspC9,B9,C,Esp,5,57.75
EspC9,B9,C,Esp,6,13.5
EspC9,B9,C,Esp,7,-11
EspC9,B9,C,Esp,8,26
EspC9,B9,C,Esp,9,56.25
FraB1,B1,B,Fra,0,0
FraB1,B1,B,Fra,1,30.599999999999994
FraB1,B1,B,Fra,10,13.800000000000011
FraB1,B1,B,Fra,11,26.399999999999977
FraB1,B1,B,Fra,12,37.200000000000045
FraB1,B1,B,Fra,13,38.19999999999999
FraB1,B1,B,Fra,14,12
FraB1,B1,B,Fra,2,30.80000000000001
FraB1,B1,B,Fra,3,16
FraB1,B1,B,Fra,4,29.30000000000001
FraB1,B1,B,Fra,5,-5.100000000000023
FraB1,B1,B,Fra,6,19.399999999999977
FraB1,B1,B,Fra,7,0.20000000000004547
FraB1,B1,B,Fra,8,12.399999999999977
FraB1,B1,B,Fra,9,28.69999999999999
